Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000.0,3.0,1.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,0.0,50.0,63.0,79.4,887.0,361.0,21.0,25.0,84.0,24.0,29.0,82.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,2.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,73.0,2.0,19.0,40.0,15.0,0.0,73.0,2.0,0.0,0.0,1.0,50.0,41.0,152.0,68.0,1.0,0.0,0.0,1.0,0.0,40.0,3.0,63.0,51.0,12.0,2.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000.0,4.0,1.0,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,2.0,2.0,0.0,4.0,5.0,80.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,47.0,66.0,71.2,705.0,190.0,24.0,30.0,80.0,21.0,30.0,70.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,85.0,1.0,21.0,28.0,36.0,0.0,85.0,4.0,1.0,25.0,2.0,50.0,46.0,215.0,103.0,0.0,3.0,0.0,3.0,1.0,49.0,10.0,66.0,54.0,12.0,1.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003.0,1.0,1.0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,1.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,17.0,29.0,58.6,268.0,110.0,11.0,14.0,78.6,4.0,7.0,57.1,2.0,7.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.38,0.0,0.0,,24.5,0.0,0.0,0.0,0.07,-0.1,-0.1,36.0,1.0,8.0,19.0,9.0,1.0,36.0,1.0,1.0,100.0,0.0,0.0,13.0,101.0,67.0,3.0,2.0,1.0,0.0,2.0,16.0,3.0,29.0,21.0,8.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004.0,6.0,0.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,4.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,1.0,5.0,3.0,0.0,36.0,46.0,78.3,614.0,206.0,13.0,15.0,86.7,18.0,21.0,85.7,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,2.0,2.0,50.0,0.0,1.0,0.0,0.0,1.02,0.0,0.0,,15.0,0.0,0.0,0.0,0.06,-0.1,-0.1,65.0,8.0,37.0,22.0,7.0,2.0,65.0,0.0,0.0,,0.0,,29.0,219.0,165.0,3.0,1.0,1.0,1.0,3.0,34.0,1.0,46.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,100.0,41.0,0.0,0.0,0.0,,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,,0.0,,1.0,10.0,9.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987.0,16.0,11.0,1033.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.4,4.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,11.0,15.0,2.0,0.0,10.0,16.0,62.5,6.0,26.0,18.0,8.0,14.0,31.0,57.0,1.0,438.0,505.0,86.7,7952.0,2404.0,147.0,160.0,91.9,263.0,287.0,91.6,23.0,48.0,47.9,0.0,0.1,0.3,-0.1,2.0,28.0,0.0,0.0,22.0,6.0,0.55,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,42.0,19.0,10.0,65.5,0.0,2.0,1.0,50.0,0.17,0.09,0.0,0.0,10.8,0.0,0.0,0.0,0.12,-0.2,-0.2,641.0,127.0,414.0,215.0,14.0,7.0,641.0,7.0,3.0,42.9,4.0,57.1,322.0,1732.0,837.0,4.0,1.0,0.0,8.0,3.0,393.0,3.0,505.0,461.0,42.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,438.0,2.0,1.0
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999.0,32.0,32.0,2842.0,31.6,6.0,1.0,7.0,3.0,3.0,4.0,4.0,0.0,6.4,3.2,3.2,6.4,107.0,207.0,111.0,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,32.0,13.0,20.0,15.0,15.0,48.0,31.3,33.0,24.0,1.0,23.0,26.0,74.0,28.0,2.0,1373.0,1672.0,82.1,21646.0,6031.0,710.0,807.0,88.0,531.0,612.0,86.8,82.0,151.0,54.3,1.0,3.2,3.7,-2.2,39.0,171.0,38.0,3.0,207.0,94.0,2.98,80.0,2.0,5.0,1.0,3.0,3.0,5.0,0.16,3.0,0.0,2.0,0.0,0.0,0.0,0.0,48.0,32.0,3.0,44.0,26.0,32.0,0.0,0.0,0.0,193.0,13.0,20.0,39.4,6.0,35.0,8.0,22.9,1.11,0.25,0.09,0.38,22.6,0.0,3.0,4.0,0.09,-0.4,-0.2,1993.0,38.0,293.0,1149.0,597.0,49.0,1989.0,121.0,57.0,47.1,61.0,50.4,1183.0,7595.0,4388.0,107.0,90.0,17.0,55.0,51.0,1446.0,111.0,1672.0,1555.0,107.0,41.0,23.0,13.0,44.0,15.0,10.0,5.0,2.0,0.0,1373.0,10.0,31.0
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999.0,12.0,10.0,855.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,14.0,12.0,6.0,3.0,13.0,22.0,59.1,9.0,11.0,5.0,6.0,15.0,36.0,56.0,1.0,471.0,521.0,90.4,8299.0,2620.0,195.0,207.0,94.2,241.0,259.0,93.1,27.0,44.0,61.4,0.0,0.0,0.2,0.0,0.0,41.0,1.0,0.0,52.0,8.0,0.84,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,2.0,15.0,14.0,0.0,0.0,0.0,50.0,31.0,19.0,62.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,635.0,70.0,260.0,331.0,46.0,3.0,635.0,4.0,1.0,25.0,2.0,50.0,342.0,1427.0,822.0,6.0,4.0,0.0,4.0,3.0,386.0,5.0,521.0,493.0,28.0,21.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,471.0,0.0,2.0
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993.0,25.0,17.0,1393.0,15.5,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,4.3,4.3,1.9,6.2,35.0,42.0,101.0,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.4,0.28,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,25.0,18.0,14.0,11.0,28.0,43.0,65.1,15.0,20.0,6.0,14.0,20.0,63.0,37.0,0.0,502.0,678.0,74.0,7914.0,2701.0,269.0,314.0,85.7,188.0,245.0,76.7,33.0,72.0,45.8,2.0,1.9,1.7,0.1,20.0,19.0,21.0,7.0,42.0,45.0,2.91,33.0,3.0,4.0,4.0,0.0,1.0,3.0,0.19,1.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,14.0,5.0,51.0,20.0,25.0,0.0,0.0,0.0,72.0,22.0,14.0,61.1,5.0,29.0,11.0,37.9,1.87,0.71,0.17,0.45,16.9,1.0,0.0,0.0,0.17,0.7,0.7,886.0,51.0,230.0,349.0,315.0,50.0,886.0,29.0,12.0,41.4,16.0,55.2,391.0,1880.0,1003.0,35.0,15.0,9.0,32.0,14.0,481.0,101.0,678.0,551.0,122.0,12.0,0.0,2.0,51.0,110.0,0.0,0.0,0.0,0.0,502.0,5.0,22.0
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999.0,4.0,2.0,205.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,6.0,9.0,26.0,0.0,0.44,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,0.0,118.0,136.0,86.8,1766.0,368.0,65.0,69.0,94.2,49.0,55.0,89.1,2.0,6.0,33.3,1.0,0.2,0.2,0.8,2.0,4.0,4.0,2.0,9.0,6.0,2.65,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,7.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.44,0.0,0.0,,24.7,0.0,0.0,0.0,0.03,0.0,0.0,157.0,0.0,27.0,75.0,56.0,7.0,157.0,8.0,3.0,37.5,2.0,25.0,90.0,399.0,175.0,6.0,2.0,2.0,5.0,1.0,108.0,26.0,136.0,103.0,33.0,1.0,0.0,0.0,7.0,32.0,0.0,0.0,0.0,0.0,118.0,0.0,3.0
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000.0,35.0,20.0,2074.0,23.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.5,0.5,1.0,1.6,50.0,77.0,92.0,0.09,0.0,0.09,0.09,0.09,0.02,0.05,0.07,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,37.0,28.0,25.0,8.0,39.0,63.0,61.9,24.0,29.0,4.0,25.0,18.0,79.0,64.0,2.0,776.0,1071.0,72.5,12899.0,5046.0,385.0,439.0,87.7,315.0,401.0,78.6,58.0,158.0,36.7,0.0,1.0,1.5,-1.0,16.0,57.0,18.0,13.0,77.0,39.0,1.69,29.0,2.0,5.0,0.0,1.0,2.0,4.0,0.17,2.0,0.0,1.0,0.0,0.0,1.0,0.0,25.0,32.0,3.0,85.0,18.0,37.0,0.0,1.0,0.0,106.0,20.0,17.0,54.1,2.0,12.0,4.0,33.3,0.52,0.17,0.17,0.5,22.9,0.0,0.0,0.0,0.04,1.5,1.5,1322.0,65.0,370.0,605.0,357.0,19.0,1322.0,35.0,18.0,51.4,13.0,37.1,605.0,3269.0,1792.0,50.0,44.0,7.0,27.0,18.0,683.0,92.0,1071.0,847.0,220.0,14.0,3.0,2.0,85.0,206.0,0.0,0.0,0.0,0.0,776.0,4.0,47.0
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002.0,7.0,4.0,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,3.0,3.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,3.0,0.0,6.0,5.0,0.0,36.0,61.0,59.0,680.0,267.0,12.0,20.0,60.0,12.0,19.0,63.2,8.0,13.0,61.5,0.0,0.0,0.1,0.0,1.0,7.0,2.0,0.0,6.0,3.0,1.03,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,10.0,3.0,76.9,0.0,2.0,0.0,0.0,0.68,0.0,0.0,,31.2,0.0,0.0,0.0,0.02,0.0,0.0,87.0,6.0,21.0,56.0,10.0,2.0,87.0,3.0,2.0,66.7,1.0,33.3,34.0,148.0,74.0,2.0,0.0,0.0,1.0,1.0,36.0,2.0,61.0,58.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,3.0
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,21.0,7.0,0.0,0.0,,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003.0,34.0,33.0,2768.0,30.8,9.0,2.0,11.0,8.0,1.0,1.0,3.0,0.0,8.5,7.7,3.8,11.5,75.0,48.0,169.0,0.29,0.07,0.36,0.26,0.33,0.28,0.12,0.4,0.25,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,5.0,2.0,4.0,5.0,3.0,9.0,33.3,6.0,15.0,1.0,14.0,4.0,15.0,36.0,1.0,351.0,538.0,65.2,5145.0,976.0,185.0,256.0,72.3,119.0,160.0,74.4,20.0,38.0,52.6,2.0,3.8,3.4,-1.8,27.0,23.0,15.0,4.0,48.0,61.0,1.98,43.0,0.0,8.0,6.0,3.0,1.0,9.0,0.29,6.0,0.0,2.0,1.0,0.0,0.0,0.0,34.0,53.0,5.0,30.0,4.0,5.0,0.0,0.0,0.0,83.0,64.0,76.0,45.7,9.0,73.0,26.0,35.6,2.37,0.85,0.11,0.31,15.0,0.0,1.0,1.0,0.11,0.5,0.3,878.0,34.0,75.0,382.0,438.0,142.0,877.0,86.0,35.0,40.7,48.0,55.8,587.0,3670.0,1743.0,75.0,42.0,42.0,92.0,65.0,689.0,169.0,538.0,510.0,26.0,1.0,3.0,4.0,30.0,1.0,0.0,0.0,0.0,0.0,351.0,2.0,27.0
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000.0,19.0,12.0,1090.0,12.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,31.0,66.0,55.0,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,20.0,12.0,10.0,7.0,21.0,32.0,65.6,11.0,15.0,2.0,13.0,5.0,34.0,41.0,0.0,568.0,675.0,84.1,8355.0,3494.0,335.0,366.0,91.5,181.0,210.0,86.2,33.0,55.0,60.0,1.0,1.1,2.3,-0.1,11.0,45.0,11.0,2.0,66.0,25.0,2.06,21.0,3.0,0.0,1.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,31.0,5.0,20.0,0.0,0.0,0.0,45.0,7.0,9.0,43.8,1.0,7.0,3.0,42.9,0.58,0.25,0.14,0.33,17.7,0.0,0.0,0.0,0.08,0.4,0.4,791.0,40.0,207.0,361.0,225.0,22.0,791.0,12.0,6.0,50.0,6.0,50.0,426.0,1926.0,1239.0,31.0,16.0,5.0,14.0,8.0,513.0,55.0,675.0,576.0,97.0,9.0,1.0,5.0,31.0,82.0,6.0,6.0,0.0,0.0,568.0,2.0,19.0
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000.0,26.0,22.0,1901.0,21.1,7.0,2.0,9.0,6.0,1.0,2.0,4.0,0.0,10.2,8.6,1.6,10.2,34.0,22.0,164.0,0.33,0.09,0.43,0.28,0.38,0.48,0.07,0.56,0.41,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,13.0,7.0,8.0,7.0,4.0,23.0,17.4,19.0,16.0,1.0,15.0,6.0,28.0,9.0,0.0,221.0,349.0,63.3,2789.0,753.0,145.0,193.0,75.1,56.0,94.0,59.6,6.0,15.0,40.0,2.0,1.6,2.0,0.4,12.0,16.0,10.0,4.0,22.0,34.0,1.61,19.0,0.0,4.0,6.0,4.0,1.0,7.0,0.33,3.0,0.0,1.0,0.0,3.0,0.0,0.0,35.0,25.0,13.0,33.0,6.0,13.0,2.0,0.0,0.0,61.0,22.0,38.0,36.7,7.0,62.0,26.0,41.9,2.94,1.23,0.1,0.23,14.6,0.0,1.0,2.0,0.14,-3.2,-2.6,613.0,6.0,59.0,196.0,363.0,113.0,611.0,53.0,16.0,30.2,35.0,66.0,375.0,1923.0,880.0,34.0,24.0,19.0,64.0,26.0,450.0,164.0,349.0,333.0,13.0,1.0,0.0,0.0,33.0,7.0,3.0,2.0,0.0,0.0,221.0,3.0,14.0
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999.0,29.0,29.0,2463.0,27.4,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.9,0.9,0.3,1.2,16.0,79.0,4.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,23.0,24.0,11.0,1.0,20.0,34.0,58.8,14.0,28.0,18.0,10.0,39.0,75.0,146.0,1.0,719.0,939.0,76.6,16039.0,5771.0,180.0,194.0,92.8,421.0,460.0,91.5,114.0,258.0,44.2,1.0,0.3,0.4,0.7,8.0,67.0,10.0,2.0,79.0,25.0,0.91,20.0,0.0,0.0,2.0,1.0,2.0,3.0,0.11,2.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,31.0,2.0,5.0,39.0,23.0,1.0,2.0,0.0,87.0,40.0,35.0,53.3,0.0,12.0,1.0,8.3,0.44,0.04,0.0,0.0,8.0,0.0,0.0,0.0,0.08,-0.9,-0.9,1251.0,160.0,659.0,545.0,58.0,25.0,1251.0,4.0,3.0,75.0,1.0,25.0,632.0,3531.0,2013.0,16.0,7.0,0.0,18.0,3.0,650.0,4.0,939.0,888.0,48.0,40.0,1.0,17.0,5.0,7.0,0.0,0.0,0.0,0.0,719.0,3.0,6.0
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,44.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,,0.0,,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
