name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,wasFouled,fouls,interceptionWon,unsuccessfulTouch,totalContest,outfielderBlock,totalTackle,wonTackle,challengeLost,totalCross,accurateCross,wonContest,sofascoreId,dispossessed,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,keyPass,blockedScoringAttempt,totalOffside,bigChanceCreated,goalAssist,goals,errorLeadToAShot
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",25.0,4.0,24.0,3.0,1.0,1.0,3.0,24.0,1.0,8.0,1.0,5.0,6.0,1.0,1.0,90.0,34.0,7.3,21.0,0.00052285,"{'original': 7.3, 'alternative': 7.3}",0,1.001,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",19.0,7.0,8.0,,5.0,11.0,2.0,8.0,4.0,2.0,,,,,,90.0,25.0,6.1,12.0,0.00050656,"{'original': 6.1, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",22.0,10.0,6.0,2.0,5.0,10.0,5.0,12.0,4.0,3.0,,,,,,90.0,41.0,6.5,23.0,0.00112907,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,5.0,3.0,5.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",16.0,9.0,4.0,1.0,4.0,8.0,5.0,8.0,4.0,4.0,,,,,,88.0,33.0,6.6,12.0,0.00432867,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,8.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",15.0,10.0,2.0,1.0,6.0,9.0,4.0,6.0,2.0,3.0,,,,,,90.0,36.0,6.5,9.0,0.00316302,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,8.0,6.0,,2.0,2.0,2.0,1.0,,6.0,4.0,4.0,,,,,,,,,,,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",26.0,20.0,8.0,2.0,9.0,13.0,12.0,17.0,3.0,6.0,,,,,,90.0,40.0,6.4,10.0,0.092356,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,4.0,1.0,,1.0,1.0,,1.0,1.0,,,2.0,4.0,1.0,,,,,,,,,,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",21.0,10.0,4.0,1.0,5.0,7.0,5.0,14.0,4.0,3.0,,,,,,86.0,34.0,7.0,11.0,0.00134322,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,5.0,5.0,10.0,,2.0,1.0,,,,5.0,4.0,1.0,,,,,,,,,,,,,,,,,
Andre Brooks,,,andre-brooks,A. Brooks,M,11,180,187,M,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",12.0,3.0,3.0,,1.0,5.0,2.0,8.0,,2.0,,,,,,74.0,22.0,6.7,12.0,0.00101495,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,3.0,5.0,,1.0,2.0,1.0,3.0,,2.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",18.0,10.0,1.0,,2.0,3.0,8.0,15.0,,6.0,,,,,,90.0,41.0,6.9,17.0,0.227207,"{'original': 6.9, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,8.0,8.0,,,,4.0,6.0,,5.0,3.0,1.0,,,3.0,jamesmcatee_,1.0,1.0,1.0,1.0,0.426,0.421,1.0,,,,,,
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",11.0,8.0,1.0,,3.0,3.0,5.0,8.0,,6.0,,,,,,90.0,38.0,5.9,13.0,0.00580502,"{'original': 5.9, 'alternative': 5.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,16.0,9.0,4.0,2.0,,4.0,8.0,,1.0,1.0,3.0,,,4.0,,2.0,2.0,2.0,,0.5594,,,2.0,1.0,,,,
