name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,unsuccessfulTouch,wasFouled,fouls,dispossessed,wonTackle,keyPass,challengeLost,totalContest,wonContest,firstName,lastName,sofascoreId,shotOffTarget,onTargetScoringAttempt,accurateCross,bigChanceMissed,hitWoodwork,goals,bigChanceCreated,totalOffside,errorLeadToAShot,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,penaltyConceded
Matheus Cunha,matheus-cunha,M. Cunha,F,10,184,62297,M,886363,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,927763200,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماثيوس كونيا', 'hi': 'मैथियस कुन्हा', 'bn': 'ম্যাথিউস কুনহা'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'hi': 'एम. कुन्हा', 'bn': 'এম. কুনহা'}}",21.0,15.0,,,8.0,10.0,7.0,11.0,1.0,,,71.0,31.0,6.6,10.0,0.0,0.0,0.00289964,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,2.0,6.0,6.0,,,,1.0,1.0,1.0,1.0,2.0,,,,3.0,2.0,,,Cunha,,,,,,,,,,,,,,
Toti Gomes,toti-gomes,T. Gomes,D,24,187,1089,M,973418,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,916444800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توتي غوميس', 'hi': 'टोटी गोम्स', 'bn': 'টোটি গোমস'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'hi': 'टी. गोम्स', 'bn': 'টি. গোমেজ'}}",17.0,16.0,1.0,1.0,13.0,14.0,3.0,3.0,3.0,,,45.0,22.0,6.7,2.0,0.0,0.0,0.00044479,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,2.0,,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
Matt Doherty,matt-doherty,M. Doherty,D,2,182,1503,M,143047,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,695520000,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات دوهيرتي', 'hi': 'मैट डोहर्टी', 'bn': 'ম্যাট ডোহার্টি'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'hi': 'एम. डोहर्टी', 'bn': 'এম. ডোহার্টি'}}",13.0,9.0,,,4.0,6.0,5.0,7.0,2.0,,,45.0,24.0,6.3,8.0,0.0,0.0,0.00108251,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,1.0,6.0,1.0,,5.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Boubacar Traoré,boubacar-traore,B. Traoré,M,8,183,1017,M,982613,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,998265600,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبكر تراوري', 'hi': 'बौबाकर ट्रैओरे', 'bn': 'বউবাকার ট্রাওরে'}, 'shortNameTranslation': {'ar': 'ب. تراوري', 'hi': 'बी. ट्रैओरे', 'bn': 'বি. ট্রাওরে'}}",9.0,4.0,1.0,,2.0,4.0,2.0,5.0,2.0,,,19.0,15.0,6.3,7.0,0.0,0.0,0.00034216,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,5.0,1.0,,1.0,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,
Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,661,M,1013928,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1032307200,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو بوينو', 'hi': 'ह्यूगो ब्यूनो', 'bn': 'হুগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'hi': 'एच. ब्यूनो', 'bn': 'এইচ. বুয়েনো'}}",4.0,2.0,2.0,,2.0,2.0,,2.0,1.0,,,14.0,8.0,6.7,2.0,0.0,0.0,1.747e-05,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Doyle,tommy-doyle,T. Doyle,M,7,172,809,M,932628,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1003276800,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومي دويل', 'hi': 'टॉमी डॉयल', 'bn': 'টমি ডয়েল'}, 'shortNameTranslation': {'ar': 'ت. دويل', 'hi': 'टी. डॉयल', 'bn': 'টি. ডয়েল'}}",1.0,1.0,,,1.0,1.0,,,1.0,,,8.0,5.0,6.6,,0.0,0.0,4.4e-07,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188,263,M,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saša Kalajdžić,sasa-kalajdzic,S. Kalajdžić,F,18,200,1151,M,870038,"{'alpha2': 'AT', 'alpha3': 'AUT', 'name': 'Austria', 'slug': 'austria'}",EUR,868233600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا كالادزيتش', 'hi': 'साशा कालाजदज़िक', 'bn': 'সাশা কালাজদজিচ'}, 'shortNameTranslation': {'ar': 'س. كالادزيتش', 'hi': 'एस. कालाजदज़िक', 'bn': 'এস. কালাজদজিচ'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Silva,fabio-silva,F. Silva,F,21,185,5165,M,954076,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,1027036800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيو سيلفا', 'hi': 'फैबियो सिल्वा', 'bn': 'ফ্যাবিও সিলভা'}, 'shortNameTranslation': {'ar': 'ف. سيلفا', 'hi': 'एफ. सिल्वा', 'bn': 'এফ. সিলভা'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,fabio.silva,,,,,,,,,,,,,,
