name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,interceptionWon,totalTackle,fouls,aerialWon,outfielderBlock,wonTackle,aerialLost,totalContest,wonContest,blockedScoringAttempt,unsuccessfulTouch,shotOffTarget,accurateCross,dispossessed,onTargetScoringAttempt,firstName,lastName,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,goalAssist,goals
David Raya,david-raya,D. Raya,G,1,183,25247,M,d_raya1,581310,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,811123200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد رايا', 'hi': 'डेविड राया', 'bn': 'ডেভিড রায়া'}, 'shortNameTranslation': {'ar': 'د. رايا', 'hi': 'डी. राया', 'bn': 'ডি. রায়া'}}",32.0,30.0,9.0,7.0,27.0,27.0,3.0,5.0,1.0,1.0,13.0,1.0,,1.0,,90.0,44.0,7.4,2.0,0.0,0.0,0.00091263,,"{'original': 7.4, 'alternative': 7.3}",0,0.0901,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,
Ben White,benjamin-white,B. White,D,4,186,13312,M,benwhite,846036,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,876268800,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بنيامين وايت', 'hi': 'बेंजामिन व्हाइट', 'bn': 'বেঞ্জামিন হোয়াইট'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'hi': 'बी. व्हाइट', 'bn': 'বি. হোয়াইট'}}",92.0,80.0,6.0,3.0,41.0,43.0,41.0,51.0,5.0,1.0,5.0,2.0,,,,90.0,114.0,7.7,17.0,0.0352,0.0532,0.125933,1.0,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,,,1.0,,1.0,,1.0,,2.0,1.0,,1.0,,2.0,,1.0,,,,,,,,
William Saliba,william-saliba,W. Saliba,D,2,193,43547,M,WSaliba4,941168,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,985392000,"{'value': 85000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليام صاليبا', 'hi': 'विलियम सलीबा', 'bn': 'উইলিয়াম সালিবা'}, 'shortNameTranslation': {'ar': 'و. صاليبا', 'hi': 'डब्लू. सलीबा', 'bn': 'ডব্লিউ. সালিবা'}}",103.0,94.0,7.0,3.0,69.0,75.0,25.0,28.0,1.0,2.0,5.0,,,,,90.0,108.0,7.2,10.0,0.0,0.0,0.00612191,,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,,,,1.0,2.0,,3.0,,,,1.0,,,,,,,,,,,,
Gabriel Magalhães,gabriel-magalhaes,Gabriel,D,6,190,45357,M,GabrielMagalhães,869792,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,882489600,"{'value': 70000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل ماغاليس', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল ম্যাগালহায়েস'}, 'shortNameTranslation': {'ar': 'غابرييل', 'hi': 'गेब्रियल मैगलहेस', 'bn': 'গ্যাব্রিয়েল'}}",99.0,90.0,8.0,3.0,67.0,74.0,23.0,25.0,5.0,2.0,5.0,,,,,90.0,106.0,7.2,11.0,0.0,0.0,0.0178984,,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,,,1.0,5.0,2.0,,2.0,,,,,,,,,,,,,,,,
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,35,175,17817,M,OZinchenko,287643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,850608000,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'hi': 'ओलेक्सांद्र ज़िनचेंको', 'bn': 'অলেক্সান্ডার জিনচেনকো'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'hi': 'ओ. ज़िनचेंको', 'bn': 'ও. জিনচেনকো'}}",81.0,72.0,8.0,5.0,38.0,40.0,34.0,44.0,2.0,,6.0,,,,,80.0,100.0,7.3,14.0,0.08,0.0,0.127004,1.0,"{'original': 7.3, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,,,2.0,,,,2.0,,,,3.0,,,,1.0,,,,,,,,,
Martin Ødegaard,martin-odegaard,M. Ødegaard,M,8,178,81763,M,Ødegaard,547410,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,913852800,"{'value': 82000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن أوديغارد', 'hi': 'मार्टिन ओडेगार्ड', 'bn': 'মার্টিন ওডেগার্ড'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'hi': 'एम. ओडेगार्ड', 'bn': 'এম. ওডেগার্ড'}}",48.0,43.0,1.0,1.0,12.0,14.0,31.0,36.0,1.0,,2.0,,,,,90.0,61.0,7.2,13.0,0.3127,0.106,0.0796054,3.0,"{'original': 7.2, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,5.0,1.0,,,,,,,,2.0,1.0,,2.0,,,3.0,2.0,,,,,,,,
Declan Rice,declan-rice,D. Rice,M,41,188,60954,M,DeclanRice,856714,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,916272000,"{'value': 114000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديكلان رايس', 'hi': 'डेक्लान राइस', 'bn': 'ডেক্লান রাইস'}, 'shortNameTranslation': {'ar': 'د. رايس', 'hi': 'डी. राइस', 'bn': 'ডি. রাইস'}}",91.0,85.0,5.0,5.0,34.0,36.0,51.0,55.0,4.0,1.0,4.0,1.0,,,,90.0,101.0,7.7,6.0,0.1257,0.0,0.0617255,1.0,"{'original': 7.7, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,3.0,,1.0,,,,1.0,3.0,3.0,1.0,,,,,,,,,,,,,
Fábio Vieira,fabio-vieira,F. Vieira,M,20,170,6737,M,fabiodfvieira,904835,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,959644800,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيو فييرا', 'hi': 'फैबियो विएरा', 'bn': 'ফ্যাবিও ভিয়েরা'}, 'shortNameTranslation': {'ar': 'ف. فييرا', 'hi': 'एफ. विएरा', 'bn': 'এফ. ভিয়েরা'}}",26.0,22.0,1.0,1.0,7.0,8.0,17.0,22.0,4.0,,1.0,2.0,,,,80.0,43.0,7.3,10.0,0.3674,0.0,0.0641214,,"{'original': 7.3, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,,1.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,2.0,3.0,2.0,,,,,,,,,,
Bukayo Saka,bukayo-saka,B. Saka,F,7,178,187094,M,BSaka7,934235,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,999648000,"{'value': 136000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'hi': 'बुकायो साका', 'bn': 'বুকায়ো সাকা'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'hi': 'बी. साका', 'bn': 'বি. সাকা'}}",41.0,37.0,3.0,2.0,6.0,6.0,33.0,40.0,7.0,2.0,3.0,4.0,,,,90.0,65.0,7.4,14.0,0.0,0.0,0.136575,1.0,"{'original': 7.4, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,8.0,,,1.0,3.0,,,1.0,,6.0,2.0,,1.0,,2.0,2.0,,,,,,,,1.0,
Edward Nketiah,edward-nketiah,E. Nketiah,F,9,175,6808,M,EN9,858194,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,928022400,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إدوارد نكيتياه', 'hi': 'एडवर्ड नेकेटिया', 'bn': 'এডওয়ার্ড এনকেটিয়া'}, 'shortNameTranslation': {'ar': 'إ. نكيتياه', 'hi': 'ई. नेकेटिया', 'bn': 'ই. এনকেটিয়া'}}",7.0,5.0,,,1.0,1.0,4.0,6.0,,,2.0,,,,,66.0,10.0,6.5,4.0,0.0404,0.0,0.00700941,,"{'original': 6.5, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,,,,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,,2.0,,,,,
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180,71135,M,GabiMartinelli,922573,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,992822400,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'hi': 'गेब्रियल मार्टिनेली', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'hi': 'जी. मार्टिनेली', 'bn': 'জি. মার্টিনেলি'}}",9.0,6.0,1.0,,3.0,4.0,3.0,5.0,,,,,,,,24.0,12.0,6.4,4.0,0.0,0.0,0.0132401,,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31309,M,leandrotrossard,135666,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,786499200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لياندرو تروسارد', 'hi': 'लिएंड्रो ट्रोसार्ड', 'bn': 'লিয়েন্দ্রো ট্রসার্ড'}, 'shortNameTranslation': {'ar': 'ل. تروسارد', 'hi': 'एल. ट्रोसार्ड', 'bn': 'এল. ট্রসার্ড'}}",26.0,22.0,1.0,1.0,9.0,11.0,13.0,16.0,4.0,1.0,6.0,1.0,,,,66.0,37.0,7.9,6.0,0.089,0.6494,0.0452774,2.0,"{'original': 7.9, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,2.0,2.0,,,,2.0,,1.0,1.0,,1.0,,,,1.0,,,2.0,,,,,1.0
Gabriel Jesus,gabriel-jesus,G. Jesus,F,9,175,76694,M,GabrielJesus,794839,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,860025600,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل جيسوس', 'hi': 'गेब्रियल जीसस', 'bn': 'গ্যাব্রিয়েল জেসুস'}, 'shortNameTranslation': {'ar': 'ج. جيسوس', 'hi': 'जी. जीसस', 'bn': 'জি. জেসুস'}}",4.0,2.0,,,1.0,1.0,1.0,4.0,4.0,,,1.0,,,,24.0,15.0,6.5,10.0,0.0,0.0,0.00077636,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,6.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,1.0,,4.0,,,3.0,,,,,,,,,
Takehiro Tomiyasu,tomiyasu-takehiro,T. Tomiyasu,D,,188,10832,M,tomiyasu_t,804434,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,910224000,"{'value': 12900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تومياسو، تاكيهيرو', 'hi': 'तोमियासू, ताकेहीरो', 'bn': 'তোমিয়াসু, তাকেহিরো'}, 'shortNameTranslation': {'ar': 'ت. تومياسو', 'hi': 'टी. ताकेहीरो', 'bn': 'টি. তোমিয়াসু'}}",3.0,2.0,,,2.0,3.0,,,1.0,1.0,2.0,,,,,10.0,8.0,6.6,3.0,0.0,0.0,2.274e-05,,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
Kai Havertz,kai-havertz,K. Havertz,F,29,193,71176,M,KaiHav,836705,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,929059200,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاي هافرتز', 'hi': 'काई हावर्ट्ज़', 'bn': 'কাই হাভার্টজ'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'hi': 'के. हावर्ट्ज़', 'bn': 'কে. হাভার্টজ'}}",6.0,5.0,,,3.0,3.0,2.0,3.0,1.0,,1.0,,,,,10.0,10.0,6.7,2.0,0.0,0.0,0.00237163,,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
Aaron Ramsdale,aaron-ramsdale,A. Ramsdale,G,32,191,8776,M,ARamsdale,839410,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,895104000,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون رامسديل', 'hi': 'आरोन रामस्डेल', 'bn': 'অ্যারন রামসডেল'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'hi': 'ए. रामस्डेल', 'bn': 'এ. রামসডেল'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15251,M,j_kiwior,976037,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,950572800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيويور، جاكوب', 'hi': 'किविओर, जेकब', 'bn': 'কিভিওর, জাকুব'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'hi': 'जे. किविओर', 'bn': 'জে. কিভিওর'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Reiss Nelson,reiss-nelson,R. Nelson,M,11,175,4985,M,reissnelson,826139,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,944784000,"{'value': 15400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس نيلسون', 'hi': 'रीस नेल्सन', 'bn': 'রেইস নেলসন'}, 'shortNameTranslation': {'ar': 'ر. نيلسون', 'hi': 'आर. नेल्सन', 'bn': 'আর. নেলসন'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Emile Smith Rowe,emile-smith-rowe,E. Smith Rowe,M,32,182,7637,M,esr,867445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964742400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيميل سميث رو', 'hi': 'एमिल स्मिथ रोवे', 'bn': 'এমিল স্মিথ রো'}, 'shortNameTranslation': {'ar': 'إ. سميث رو', 'hi': 'ई. स्मिथ', 'bn': 'ই. স্মিথ রো'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorginho,jorginho,Jorginho,M,21,180,32651,M,jorginhofrello,132874,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,693187200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}, 'shortNameTranslation': {'ar': 'جورجينيو', 'hi': 'जोर्गिनहो', 'bn': 'জর্গিনহো'}}",,,,,,,,,,,,,,,,,,,,,0.0,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,
